Team,Manager,Captain,Kit manufacturer,Shirt sponsor (chest),Shirt sponsor (sleeve)
Arsenal,Mikel Arteta,Martin Ødegaard,Adidas[5],Emirates[6],Visit Rwanda[7]
Aston Villa,Steven Gerrard,John McGinn,Castore[8],Cazoo[9],Kaiyun Sports[10]
Bournemouth,Gary O'Neil (interim),Lloyd Kelly,Umbro,Dafabet[11],DeWalt[12]
Brentford,Thomas Frank,Pontus Jansson,Umbro,Hollywoodbets[13],Safetyculture
Brighton & Hove Albion,Roberto De Zerbi,Lewis Dunk,Nike[14],American Express[14],SnickersUK.com[15]
Chelsea,Graham Potter,César Azpilicueta,Nike,Three[16],WhaleFin[17]
Crystal Palace,Patrick Vieira,Luka Milivojević,Macron[18],Cinch[19],Mukuru[20]
Everton,Frank Lampard,Séamus Coleman,Hummel[21],Stake.com[22],BOXT[23]
Fulham,Marco Silva,Tom Cairney,Adidas[24],W88,World Mobile[25]
Leeds United,Jesse Marsch,Liam Cooper,Adidas[26],SBOTOP[27],Wish[28]
Leicester City,Brendan Rodgers,Jonny Evans,Adidas[29],FBS[30],Bia Saigon[31]
Liverpool,Jürgen Klopp,Jordan Henderson,Nike[32],Standard Chartered[33],Expedia[34]
Manchester City,Pep Guardiola,İlkay Gündoğan,Puma[35],Etihad Airways[36],Nexen Tire[37]
Manchester United,Erik ten Hag,Bruno Fernandes,Adidas[38],TeamViewer[39],DXC Technology[40]
Newcastle United,Eddie Howe,Jamaal Lascelles,Castore[41],FUN88[42],noon.com[43]
Nottingham Forest,Steve Cooper,Joe Worrall,Macron,TBA,TBA
Southampton,Ralph Hasenhüttl,James Ward-Prowse,Hummel[44],Sportsbet.io[45],JD Sports
Tottenham Hotspur,Antonio Conte,Hugo Lloris,Nike[46],AIA[47],Cinch[48]
West Ham United,David Moyes,Declan Rice,Umbro,Betway,Scope Markets[49]
Wolverhampton Wanderers,James Collins Steve Davis (joint-caretakers),Rúben Neves,Castore[50],AstroPay[51],12BET
