Team,Location,Stadium,Capacity
Arsenal,London (Holloway),Emirates Stadium,60704
Aston Villa,Birmingham,Villa Park,42657
Bournemouth,Bournemouth,Dean Court,11307
Brentford,London (Brentford),Brentford Community Stadium,17250
Brighton & Hove Albion,Falmer,Falmer Stadium,31800
Chelsea,London (Fulham),Stamford Bridge,40343
Crystal Palace,London (Selhurst),Selhurst Park,25486
Everton,Liverpool (Walton),Goodison Park,39414
Fulham,London (Fulham),Craven Cottage,22384
Leeds United,Leeds,Elland Road,37608
Leicester City,Leicester,King Power Stadium,32262
Liverpool,Liverpool (Anfield),Anfield,53394
Manchester City,Manchester (Bradford),City of Manchester Stadium,53400
Manchester United,Manchester (Old Trafford),Old Trafford,74310
Newcastle United,Newcastle upon Tyne,St James' Park,52305
Nottingham Forest,West Bridgford,City Ground,30445
Southampton,Southampton,St Mary's Stadium,32384
Tottenham Hotspur,London (Tottenham),Tottenham Hotspur Stadium,62850
West Ham United,London (Stratford),London Stadium,62500
Wolverhampton Wanderers,Wolverhampton,Molineux Stadium,31750
